640	wqzii	232.151370
9984	fhtry	694.752978
3649	tpcpc	545.914430
5697	jjwed	204.755681
258	ydufz	77.858920
4101	wztim	650.994089
4165	yucrh	430.161375
7494	sxnet	476.821042
3398	fcmdh	870.814424
8649	hxthg	15.105430
4618	eazqa	748.882118
9226	idsqd	42.110779
3275	vgclk	524.412093
8916	tccua	720.186680
7189	liiwo	214.509536
5464	uhckl	892.125899
664	nmqlk	323.739361
920	mrnkm	475.403721
2904	mqdto	948.670552
4953	updhp	202.367065
7066	wxsws	174.254752
6363	phdps	150.405203
1500	dxlqg	875.716988
8220	nzkzq	534.583985
6366	nmegs	930.147422
3365	brgad	87.445115
9254	djdov	846.285359
871	eoogz	748.294214
9959	xihsz	160.304649
5160	gtirt	966.484086
7018	ceaxq	413.448650
5163	oqgap	872.944514
4588	nrsac	555.429854
9713	heqop	222.886504
9457	rwznm	79.552019
6066	ogyuv	472.614046
1266	ywlfc	138.949103
8243	msdtc	587.648406
2739	btfob	986.058457
7413	awnvp	64.132086
2295	dldle	728.947213
8825	jcgzl	443.779579
4026	xdtjj	296.345429
1597	jwkcj	104.977365
7613	qssgj	110.460828
5630	pywgi	471.453859
3390	hokzt	88.414809
255	spnls	704.425763
